Area_Name,LMP14_D_S,Km2,Area_pcent
North East Wales,Upland (moorland),588.03,23.38
North East Wales,Upland (grassland),557.35,22.16
North East Wales,Lowland valleys (open),406.73,16.17
North East Wales,Lowland valleys (hedgerow),359.18,14.28
North East Wales,Upland (wooded),219.13,8.71
North East Wales,Developed (communities),127.81,5.08
North East Wales,Lowland (wooded & wetland),109.05,4.34
North East Wales,Upland (wooded hills),63.339999999999996,2.52
North East Wales,Coastal edge,58.31,2.32
North East Wales,Developed (industry),13.97,0.56
North East Wales,Water (inland),5.9,0.23
North East Wales,Water (sea),3.69,0.15
North East Wales,Developed (amenity),2.71,0.11
North East Wales,Upland (rock),0.1,0
