Area_Name,LMP14_D_S,Km2,Area_pcent
North West Wales,Upland (moorland),1260.27,24.39
North West Wales,Upland (grassland),1027.7,19.89
North West Wales,Lowland valleys (open),912.8199999999999,17.67
North West Wales,Lowland valleys (hedgerow),647.32,12.53
North West Wales,Upland (wooded),408.74,7.91
North West Wales,Upland (wooded hills),295.26,5.71
North West Wales,Coastal edge,168.48,3.26
North West Wales,Upland (rock),141.92000000000002,2.75
North West Wales,Developed (communities),119.67,2.32
North West Wales,Lowland (wooded & wetland),78.41,1.52
North West Wales,Water (inland),38.55,0.75
North West Wales,Water (sea),37.19,0.72
North West Wales,Developed (industry),24.31,0.47
North West Wales,Developed (amenity),5.93,0.11
