Area_Name,LMP14_D_S,Km2,Area_pcent
South Wales Central,Upland (wooded),560.3100000000001,29.81
South Wales Central,Developed (communities),272.18,14.48
South Wales Central,Lowland valleys (open),265.4,14.12
South Wales Central,Lowland valleys (hedgerow),249.71,13.29
South Wales Central,Upland (moorland),192.85999999999999,10.26
South Wales Central,Upland (grassland),173.72,9.24
South Wales Central,Coastal edge,58.86,3.13
South Wales Central,Water (sea),47.56,2.53
South Wales Central,Developed (industry),28.29,1.51
South Wales Central,Developed (amenity),12.84,0.68
South Wales Central,Lowland (wooded & wetland),7.42,0.39
South Wales Central,Water (inland),6.17,0.33
South Wales Central,Upland (wooded hills),4.28,0.23
South Wales Central,Upland (rock),0,0
