Area_Name,LMP14_D_S,Km2,Area_pcent
South West Wales,Lowland valleys (hedgerow),1533.8,26.12
South West Wales,Lowland valleys (open),1023.01,17.42
South West Wales,Upland (grassland),1009.76,17.19
South West Wales,Upland (wooded),999.7,17.02
South West Wales,Upland (moorland),418.25,7.12
South West Wales,Lowland (wooded & wetland),243.09,4.14
South West Wales,Developed (communities),233.74,3.98
South West Wales,Coastal edge,196.7,3.35
South West Wales,Upland (wooded hills),134.56,2.29
South West Wales,Water (inland),25.36,0.43
South West Wales,Water (sea),23.520000000000003,0.4
South West Wales,Developed (industry),16.53,0.28
South West Wales,Developed (amenity),14.870000000000001,0.25
South Wales Central,Upland (rock),0,0
