LMP14_D_S,LMP14_km2,Flood_Km2,percentFlood
Coastal edge,520.03,264.92,50.94
Water (sea),107.78,48.06,44.59
Water (inland),106.29,14.7,13.83
Lowland (wooded & wetland),503.26,17.77,3.53
Developed (amenity),50.21,0.64,1.28
Developed (communities),950.57,4.75,0.5
Lowland valleys (open),3525.22,11.91,0.34
Developed (industry),92.33,0.28,0.31
Lowland valleys (hedgerow),3195.27,2.05,0.06
Upland (wooded),3343.7,0.36,0.01
Upland (grassland),4924.91,0.36,0.01
Upland (wooded hills),692.63,0.02,0
Upland (moorland),3068.68,0.03,0
Upland (rock),172.43,0,0
