LMP14_D_S,LMP14_km2,Flood_Km2,percentFlood
Water (inland),106.29,80.32,75.57
Water (sea),107.78,69.26,64.26
Coastal edge,520.03,307.99,59.22
Developed (amenity),50.21,10.52,20.96
Lowland (wooded & wetland),503.26,86.77,17.24
Lowland valleys (open),3525.22,572.63,16.24
Developed (communities),950.57,121.16,12.75
Lowland valleys (hedgerow),3195.27,139.86,4.38
Developed (industry),92.33,3.71,4.02
Upland (grassland),4924.91,104.06,2.11
Upland (wooded),3343.7,63.8,1.91
Upland (wooded hills),692.63,6.68,0.96
Upland (moorland),3068.68,14.78,0.48
Upland (rock),172.43,0.48,0.28
