LMP14_D_S,Clawdd/Hedgebanks,Developed,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,None,Overgrown Hedges,Slate Fences,Stone Walls
Coastal edge,0,0,1.73,0,0,0,0.93,88.29,0,0,9.05
Developed (amenity),0,0,21.59,0,0,0,62.24,14.84,0,0,1.33
Developed (communities),0,100,0,0,0,0,0,0,0,0,0
Developed (industry),0,0,50.81,2.72,0.3,0,22.73,22.56,0,0,0.88
Lowland (wooded & wetland),2.89,0,8.19,0,29.99,14.85,16.72,14.5,7.52,0,5.34
Lowland valleys (hedgerow),9.49,0,0,0,30.54,15.29,42.18,0,0.32,0,2.18
Lowland valleys (open),10.05,0,2.03,0.2,7.51,35.17,42.15,1.36,0.74,0,0.79
Upland (grassland),4.1,0,9.79,0.37,11.65,20.62,33.37,3.26,6.26,0.07,10.51
Upland (moorland),0.32,0,1.37,0.72,0.32,0,4.91,71.72,0,0,20.64
Upland (rock),0,0,0,0,0,0,0,100,0,0,0
Upland (wooded hills),0,0,2.39,0,17.94,14.93,21.32,42.89,0.53,0,0
Upland (wooded),0.42,0,10.65,0.23,21.49,11.75,31.26,12.78,8.29,0,3.13
Water (inland),0,0,11.52,0,0,1.25,21.95,65.03,0,0,0.25
Water (sea),0,0,0,0,0,0,0,88.63,0,0,11.37
