LMP14_D_S,Developed,Low,Moderate,High
Coastal edge,0,0,13.02,86.98
Developed (amenity),0,20.91,70.33,8.76
Developed (communities),100,0,0,0
Developed (industry),0,80.16,5.86,13.98
Lowland (wooded & wetland),0,2.23,18.65,79.12
Lowland valleys (hedgerow),0,0.29,56.36,43.35
Lowland valleys (open),0,1.17,69.32,29.51
Upland (grassland),0,0.6,63.44,35.95
Upland (moorland),0,4.33,15.22,80.45
Upland (rock),0,0,91.94,8.06
Upland (wooded hills),0,6.4,36.19,57.41
Upland (wooded),0,3.15,48.09,48.76
Water (inland),0,0,50.16,49.84
Water (sea),0,0,0,100
